r,phi,sem
2.5500000000000003,0.09706659489782278,0.1352767731705154
2.6500000000000004,-0.03250985793859852,0.06660846463831506
2.7500000000000004,0.03367602860898013,0.047226527401214045
2.8500000000000005,0.06481585774846778,0.03722864649813602
2.95,0.03365492244619089,0.03576738524277936
3.0500000000000003,0.01099677828031323,0.037034707748484635
3.1500000000000004,-0.08280685422179529,0.03970014825663283
3.2500000000000004,0.04730149212747936,0.041795456066798575
3.3500000000000005,0.013113541274671557,0.04551356134408472
3.45,-0.04578414150134422,0.04521082571060976
3.5500000000000003,-0.014104800068847569,0.04410413344967538
3.6500000000000004,-0.05505202972353468,0.044433221175655346
3.7500000000000004,0.029933334754040593,0.0450370296431275
3.8500000000000005,0.014671664656995353,0.04623951391463901
3.95,0.0004489424736933275,0.046248778138288565
4.050000000000001,-0.03310444399015515,0.041422851344348
4.15,0.014452538027809209,0.03900844557891548
4.25,0.02950712703106483,0.03832427944882278
4.3500000000000005,0.05560881444014821,0.03624338237350124
4.45,0.03593480253087063,0.036746708546433464
4.550000000000001,0.036050734244481006,0.03396424075861359
4.65,0.04795385077029085,0.034948718684431175
4.750000000000001,-0.002770662227606322,0.036786736761994523
4.8500000000000005,-0.06827822520018795,0.0353880690586521
4.95,-0.0020092795767497084,0.03493581548793276
5.050000000000001,-0.048941430010115576,0.03387179371075437
5.15,0.03349542676341945,0.031928603353455466
5.250000000000001,-0.018057259439992892,0.030180933951068814
5.3500000000000005,-0.022167116921089722,0.031877331233120886
5.45,0.044093321167471014,0.029035323664735657
5.550000000000001,-0.0076520991715257405,0.028887343156050578
5.65,0.03858409503930117,0.0274792696171396
5.750000000000001,-0.02337732987026157,0.027334562387344292
5.8500000000000005,0.016146776736624912,0.02705210306906377
5.95,-0.01635228082115014,0.025473980659684203
6.050000000000001,0.010604863296239418,0.026236520972276484
6.15,0.003763378088371399,0.0251208420690642
6.250000000000001,0.016237499749861276,0.025609565737587874
6.3500000000000005,-0.03324907339717824,0.026329988171375045
6.45,-0.010937394104477942,0.023492351711918585
6.550000000000001,-0.009730727319442802,0.024238990406257575
6.65,-0.040574212108855694,0.024524865823684138
6.750000000000001,-0.026961131131339355,0.023818068503337526
6.8500000000000005,0.010424211935743374,0.022988332131142448
6.95,-0.019774655455982483,0.02298460510523979
7.050000000000001,-0.020883100996103618,0.022575812189146074
7.15,8.427740825479394e-05,0.022152493326910733
7.250000000000001,-0.0037274186370922884,0.022789816457560296
7.3500000000000005,0.0032658979535908723,0.021469321834403567
7.45,0.0028424769796064897,0.022386176371026485
7.550000000000001,-0.014620155769528768,0.02194229348798505
7.65,-0.00225120361675614,0.020920234234459018
7.750000000000001,0.008438663170910746,0.021363882806045384
7.8500000000000005,-0.0013378857668747072,0.021445489839749646
7.95,0.010867199907789532,0.020305611799225694
8.049999999999999,0.0005307277880353879,0.020388951787091533
8.15,-0.02662436270286822,0.020089888215283746
8.25,-0.007174404182664774,0.020090537634207054
8.35,0.004401319927036578,0.020157636834919564
8.45,0.0011122491309681578,0.018451260849017527
8.549999999999999,-0.0424767632677192,0.01881064310487424
8.65,-0.003347181318822959,0.01904167080675314
8.75,0.004904901311772115,0.018987649846927315
8.85,-0.03143705885161557,0.018587156672552823
8.95,-0.025629029236312145,0.018245130239709507
9.049999999999999,-0.015948790688396608,0.01811796910698194
9.15,0.002803842967820035,0.018128660049576088
9.25,-0.011652916456317901,0.01758206698087067
9.35,0.009607378214371149,0.017279847840931506
9.45,0.03024898947483875,0.017339423192021197
9.55,0.012582165187620923,0.017301028150694262
9.65,0.0054764347564187415,0.016745950506156387
9.75,0.006587236200566547,0.016834092508545114
9.85,-0.031379200966185315,0.016700686894015764
9.95,-0.035857242448491235,0.016173719577603718
