r,phi,sem
2.45,0.9963276132658478,0.0
2.6500000000000004,0.9776558118192099,0.005322468212689429
2.7500000000000004,0.9362719930496439,0.011079233484975741
2.8500000000000005,0.9097837092819905,0.014200603922934894
2.95,0.8813320620835633,0.017162578698716593
3.0500000000000003,0.7592757505320988,0.046340955497321194
3.1500000000000004,0.630159481339025,0.06180275819147615
3.2500000000000004,0.5003610691125089,0.05618185663129977
3.3500000000000005,0.3859473247820753,0.05356476175500334
3.45,0.19370607300889978,0.043665381796391046
3.5500000000000003,0.08044640999672192,0.04696224007896646
3.6500000000000004,-0.0648916784848024,0.04737288275686396
3.7500000000000004,-0.07182299446724327,0.043353831430188
3.8500000000000005,-0.13998302797671774,0.03845690422490763
3.95,-0.1490180687972408,0.038085829422231404
4.050000000000001,-0.102318800271196,0.03762693428630053
4.15,-0.1329147284104692,0.0333941350443184
4.25,-0.11205284412422255,0.033787972866204136
4.3500000000000005,-0.06915928813407575,0.034665172299398875
4.45,-0.08851882589140314,0.031400925418378106
4.550000000000001,-0.11712037515591611,0.031970540799853606
4.65,-0.025016321161642117,0.030012508013814762
4.750000000000001,-0.035459678579727906,0.029451650071155158
4.8500000000000005,-0.030780818387885805,0.02841817228661599
4.95,-0.007333323802827685,0.028671441822639414
5.050000000000001,-0.04158450456251344,0.02873312300243528
5.15,0.03311322827526214,0.028616873574538775
5.250000000000001,0.03474095045592905,0.03030593054408623
5.3500000000000005,0.020573316738149598,0.029544779231810012
5.45,0.06559881040924571,0.02704082097374439
5.550000000000001,0.03562064026688771,0.028191775449688834
5.65,0.01986367638048886,0.02761146144526537
5.750000000000001,0.029198330757308776,0.027953787511807413
5.8500000000000005,0.022558633374165044,0.027565941182766014
5.95,0.025760441202448803,0.02679083145932812
6.050000000000001,0.020755254432272514,0.02658707234100224
6.15,-0.016524116146579254,0.02409800164248252
6.250000000000001,0.019876840081731673,0.025369398955463956
6.3500000000000005,0.03269184829752486,0.0244207047660809
6.45,0.05689850436506537,0.024614216618242264
6.550000000000001,0.011821919055008265,0.02577662256494616
6.65,-0.016530849336197865,0.026840585649458754
6.750000000000001,0.052697356566447126,0.025882892424585354
6.8500000000000005,0.06424279171672188,0.02605551149841133
6.95,0.012815997894079216,0.026317444931229034
7.050000000000001,-0.009022765668331049,0.026421479061346655
7.15,-0.04452503334181653,0.02693104680702196
7.250000000000001,-0.005008219186508796,0.02570292608797504
7.3500000000000005,0.014388591071391765,0.024169100772497464
7.45,0.02575762857076757,0.02296929130721774
7.550000000000001,0.04839072171958433,0.022007314798949226
7.65,0.0033450259178329713,0.0228830700322652
7.750000000000001,0.002151393050480515,0.022745047669532677
7.8500000000000005,0.012529772463497504,0.02147177467569822
7.95,-0.03424334162467766,0.021409708203362045
8.049999999999999,0.0002963997247705748,0.019583117040542837
8.15,-0.01214090852254556,0.019834370632935375
8.25,0.0065968669778804796,0.019596226231775735
8.35,-0.00707690742453099,0.01995648795684207
8.45,-0.0004133185213034439,0.018435078377579902
8.549999999999999,-0.03964032679766037,0.01862665433019831
8.65,-0.043961459966765856,0.017861789366437977
8.75,-0.00029820583509152177,0.017094002735686117
8.85,0.012879623292431024,0.017931567623834375
8.95,0.019177192895927318,0.0176405247966446
9.049999999999999,-0.007784225877650749,0.016895292637777524
9.15,-0.001212911335373141,0.016603863938775283
9.25,0.014101946534899611,0.017435793169060503
9.35,-0.002385562711805068,0.017150021041767726
9.45,0.015693433145620172,0.016533825873968865
9.55,0.019508509169108783,0.01721297239172742
9.65,0.025241204750152305,0.016495291744010883
9.75,0.0005579617412041565,0.016237834400770323
9.85,0.0272946519548789,0.01664825718302046
9.95,0.002733097816718947,0.0160059961602917
