1395												
"Q	S(Q)"												
1.182595	-1.689998227	0.205167099	0.121571927	0.514139728	0.171379909	0.018009386	0.152326952	0.050775651	0.322102887	0.214735258	0.03578921	49.24879208
1.199859	-1.704254246	0.208184075	0.123216253	0.521847122	0.17394904	0.018231756	0.154430754	0.051476918	0.327023595	0.21801573	0.036335955	48.97105979
1.217122	-1.718155014	0.2112087	0.124855743	0.529560698	0.176520232	0.018452077	0.156524551	0.052174851	0.331940082	0.221293388	0.036882231	48.69344262
1.234385	-1.731847543	0.214241489	0.126490482	0.537280865	0.179093621	0.018670336	0.158608205	0.052869402	0.336852039	0.224568025	0.037428005	48.41598178
1.251649	-1.74524384	0.217282951	0.128120565	0.545008031	0.181669344	0.018886525	0.160681584	0.053560528	0.341759161	0.22783944	0.03797324	48.13871564
1.268912	-1.757868298	0.22033306	0.129745799	0.552741256	0.184247086	0.019100597	0.162744203	0.054248068	0.346660297	0.231106865	0.038517811	47.86172798
1.286175	-1.769943925	0.223392312	0.13136628	0.560480935	0.186826978	0.019312549	0.164795947	0.054931982	0.351555158	0.234370106	0.039061684	47.58505169
1.303438	-1.781480862	0.226461018	0.132982008	0.568227014	0.189409004	0.01952236	0.166836593	0.055612198	0.356443178	0.237628786	0.039604798	47.30873315
1.320701	-1.792641245	0.229539483	0.134592989	0.575979438	0.191993147	0.019730018	0.168865925	0.056288641	0.361323798	0.240882533	0.040147089	47.03281625
1.337964	-1.803768213	0.232628005	0.136199229	0.583738142	0.194579381	0.019935508	0.170883736	0.056961246	0.366196472	0.244130982	0.040688497	46.75734247
1.355227	-1.814602908	0.235726867	0.137800736	0.591503059	0.197167687	0.02013882	0.172889832	0.057629944	0.371060661	0.247373773	0.041228962	46.48235104
1.372491	-1.825300336	0.238836534	0.139397613	0.59927457	0.19975819	0.020339952	0.174884141	0.058294713	0.375916117	0.250610745	0.041768457	46.20786308
1.389753	-1.836265035	0.241956734	0.140989593	0.60705125	0.202350416	0.020538864	0.176866143	0.05895538	0.380761483	0.253840988	0.042306832	45.93396115
1.407016	-1.847115749	0.24508827	0.142576969	0.614834368	0.20494479	0.020735583	0.178836019	0.059612006	0.385597095	0.25706473	0.042844121	45.66063055
1.424279	-1.858508752	0.248231218	0.144159665	0.622623395	0.207541132	0.020930092	0.180793498	0.060264499	0.39042218	0.260281454	0.043380243	45.38791816
1.441542	-1.869901187	0.251385819	0.145737698	0.630418241	0.210139414	0.02112239	0.182738438	0.060912813	0.395236255	0.263490837	0.04391514	45.11585322
1.458805	-1.880777196	0.254552313	0.147311089	0.638218818	0.212739606	0.021312473	0.184670703	0.061556901	0.400038854	0.266692568	0.044448761	44.84446321
1.476068	-1.890604921	0.257730924	0.148879856	0.646025031	0.215341677	0.021500342	0.186590169	0.062196723	0.404829515	0.269886344	0.044981057	44.57377401
1.49333	-1.898887643	0.26092169	0.150443936	0.653836329	0.217945443	0.021685987	0.188496616	0.062832205	0.409607521	0.273071681	0.045511947	44.30382558
1.510593	-1.905574234	0.264125186	0.152003532	0.661653515	0.220551172	0.021869435	0.19039016	0.063463387	0.414372994	0.276248663	0.046041444	44.03460952
1.527856	-1.910374974	0.267341429	0.153558585	0.669476034	0.223158678	0.022050678	0.192270597	0.064090199	0.419125238	0.279416825	0.046569471	43.76616299
1.545118	-1.912939144	0.270570424	0.15510903	0.67730332	0.225767773	0.022229713	0.194137739	0.06471258	0.423863573	0.282575715	0.047095952	43.4985217
1.562381	-1.914005617	0.273812731	0.156655078	0.685136172	0.228378724	0.022406567	0.195991728	0.065330576	0.428588156	0.285725437	0.047620906	43.23167364
1.579643	-1.913411811	0.277068144	0.158196583	0.692973564	0.230991188	0.02258123	0.197832289	0.065944096	0.433298062	0.288865374	0.04814423	42.96566759
1.596906	-1.910619599	0.280337209	0.159733758	0.700816288	0.233605429	0.022753734	0.199659581	0.066553194	0.437993469	0.291995647	0.04866594	42.70048952
1.614168	-1.906879401	0.283619705	0.161266461	0.708663312	0.236221105	0.02292407	0.201473349	0.067157782	0.442673481	0.295115654	0.049185943	42.43618594
1.63143	-1.900255228	0.286915969	0.162794815	0.716514966	0.238838322	0.02309226	0.203273667	0.067757889	0.447338029	0.298225353	0.049704225	42.17275632
1.648693	-1.891093086	0.290226334	0.164318953	0.72437158	0.241457193	0.02325833	0.205060612	0.068353537	0.451987057	0.301324705	0.050220785	41.91019945
1.665955	-1.879329401	0.293550547	0.165838735	0.73223211	0.244077369	0.023422274	0.206833963	0.068944655	0.45661971	0.30441314	0.050735523	41.64855891
1.683217	-1.863369181	0.296888928	0.167354291	0.740096881	0.246698961	0.023584122	0.208593816	0.069531272	0.461235956	0.307490637	0.05124844	41.38783187
1.700479	-1.844571576	0.30024159	0.168865669	0.747965757	0.249321918	0.02374389	0.210340175	0.070113392	0.465835506	0.310557004	0.051759501	41.12803001
1.717741	-1.821697732	0.303608645	0.170372911	0.755838598	0.2519462	0.0239016	0.212073048	0.070691016	0.470418082	0.313612054	0.052268675	40.86916438
1.735003	-1.794102798	0.306990192	0.171876065	0.763715265	0.254571756	0.024057269	0.213792455	0.071264152	0.474983421	0.316655613	0.052775935	40.61124538
1.752265	-1.762940923	0.310386325	0.173375179	0.771595615	0.257198538	0.024210919	0.215498423	0.071832807	0.479531267	0.319687511	0.053281252	40.35428289
1.769527	-1.726454255	0.313797133	0.174870303	0.779479503	0.259826501	0.024362573	0.217190985	0.072396994	0.484061384	0.322707588	0.053784598	40.09828623
