Step,CPU,Temperature (K),Pressure (GPa),Volume,v_nAtom,v_FU,c_PE,Energy (eV/FU),c_T,MSD (Å$^2$),c_MSD2[4]
4600.0,241.90457,304.95885,-0.5185780600000001,130742.65,12960.0,1620.0,-22032.859,-13.60053,304.95885,1.3672062,1.3672062
4700.0,247.1517,306.53387,-0.5342553600000001,130742.65,12960.0,1620.0,-22031.708,-13.59982,306.53387,1.3820463,1.3820463
4800.0,252.37341,305.10847,-0.54538777,130742.65,12960.0,1620.0,-22030.882,-13.59931,305.10847,1.3729102,1.3729102
4900.0,257.63718,305.16968,-0.56899554,130742.65,12960.0,1620.0,-22036.384,-13.602706,305.16968,1.3790828,1.3790828
5000.0,262.86811,305.13081,-0.6038743400000001,130742.65,12960.0,1620.0,-22042.67,-13.606586,305.13081,1.3960929,1.3960929
5100.0,268.11781,302.79093,-0.66978121,130742.65,12960.0,1620.0,-22043.406,-13.607041,302.79093,1.4050198,1.4050198
5200.0,273.33464,303.44509,-0.53512229,130742.65,12960.0,1620.0,-22044.988,-13.608017,303.44509,1.4008182,1.4008182
5300.0,278.58214,302.16863,-0.6124473,130742.65,12960.0,1620.0,-22042.943,-13.606755,302.16863,1.4271015,1.4271015
5400.0,283.81381,301.10434,-0.5918990700000001,130742.65,12960.0,1620.0,-22040.742,-13.605396,301.10434,1.4334481,1.4334481
5500.0,289.06733,301.43457,-0.59815556,130742.65,12960.0,1620.0,-22040.998,-13.605554,301.43457,1.4280275,1.4280275
5600.0,294.31629,303.00111,-0.56138938,130742.65,12960.0,1620.0,-22043.325,-13.606991,303.00111,1.4370254,1.4370254
5700.0,299.58623,302.72882,-0.57585615,130742.65,12960.0,1620.0,-22041.93,-13.606129,302.72882,1.4445008,1.4445008
5800.0,304.83234,303.36957,-0.6210346400000001,130742.65,12960.0,1620.0,-22043.939,-13.60737,303.36957,1.4466095,1.4466095
5900.0,310.09752,308.02183,-0.57534278,130742.65,12960.0,1620.0,-22051.368,-13.611955,308.02183,1.4423125,1.4423125
6000.0,315.34106,301.73885,-0.6010992900000001,130742.65,12960.0,1620.0,-22046.579,-13.609,301.73885,1.4479336,1.4479337
6100.0,320.5646,300.17317,-0.63275355,130742.65,12960.0,1620.0,-22042.572,-13.606526,300.17317,1.4537047,1.4537048
6200.0,325.86492,301.40076,-0.5971407599999999,130742.65,12960.0,1620.0,-22040.952,-13.605526,301.40076,1.4679532,1.4679532
6300.0,331.14606,301.8972,-0.62321579,130742.65,12960.0,1620.0,-22042.615,-13.606552,301.8972,1.4820021,1.4820021
6400.0,336.42357,305.40154,-0.60141433,130742.65,12960.0,1620.0,-22050.956,-13.611701,305.40154,1.5024309,1.502431
6500.0,341.66049,302.89678,-0.60266995,130742.65,12960.0,1620.0,-22051.581,-13.612087,302.89678,1.5136802,1.5136802
6600.0,346.97895,301.77664,-0.5704982000000001,130742.65,12960.0,1620.0,-22054.466,-13.613868,301.77664,1.5218993,1.5218993
