Step,CPU,Temperature (K),Pressure (GPa),Volume,v_nAtom,v_FU,c_PE,Energy (eV/FU),c_T,MSD (Å$^2$),c_MSD2[4]
4600.0,232.17022,254.20796,-1.0773192,131362.06,12960.0,1620.0,-22470.06,-13.870407,254.20796,0.15621672,0.1562119
4700.0,237.25147,240.32071,-2.654386,131362.06,12960.0,1620.0,-22457.88,-13.862889,240.32071,0.18251521,0.18250516
4800.0,242.34698,273.21385,-2.2361666000000002,131362.06,12960.0,1620.0,-22476.047,-13.874103,273.21385,0.14371782,0.14372158
4900.0,247.40183,302.85618,-2.6201564,131362.06,12960.0,1620.0,-22487.182,-13.880976,302.85618,0.092541344,0.0925431
5000.0,252.49652,269.92396,-3.4723552000000004,131362.06,12960.0,1620.0,-22459.293,-13.863761,269.92396,0.11503218,0.1150307
5100.0,258.42996,257.63739,-2.5867775,131362.06,12960.0,1620.0,-22432.902,-13.84747,257.63739,0.12174094,0.12173374
5200.0,263.56039,253.66738,-3.1900712,131362.06,12960.0,1620.0,-22434.823,-13.848656,253.66738,0.15726132,0.1572733
5300.0,268.58538,267.99943,-2.4890366999999998,131362.06,12960.0,1620.0,-22452.363,-13.859483,267.99943,0.095681283,0.095683894
5400.0,273.65867,249.84867,-3.0644661,131362.06,12960.0,1620.0,-22449.431,-13.857673,249.84867,0.11652937,0.11652706
5500.0,278.68089,299.63716,-2.0611542000000003,131362.06,12960.0,1620.0,-22498.975,-13.888256,299.63716,0.096862739,0.096864491
5600.0,283.7799,307.41673,-2.0133277,131362.06,12960.0,1620.0,-22491.61,-13.88371,307.41673,0.10896442,0.10896464
5700.0,288.82639,278.54326,-2.3774413,131362.06,12960.0,1620.0,-22440.986,-13.85246,278.54326,0.13281511,0.13281685
5800.0,293.91371,257.53975,-1.9964795,131362.06,12960.0,1620.0,-22404.728,-13.830079,257.53975,0.10852436,0.10851886
5900.0,298.99346,290.23,-3.2287038000000003,131362.06,12960.0,1620.0,-22431.327,-13.846498,290.23,0.11647848,0.11648415
6000.0,304.08229,270.87372,-2.1627975,131362.06,12960.0,1620.0,-22412.635,-13.83496,270.87372,0.124192,0.12418901
6100.0,309.16876,296.40399,-2.8399951000000003,131362.06,12960.0,1620.0,-22442.016,-13.853096,296.40399,0.10290513,0.10290839
6200.0,314.26932,295.07976,-2.6230335,131362.06,12960.0,1620.0,-22443.272,-13.853871,295.07976,0.10528368,0.1052835
6300.0,319.36289,300.14986,-2.318537,131362.06,12960.0,1620.0,-22455.917,-13.861677,300.14986,0.12912058,0.12912231
6400.0,324.45568,281.90003,-2.5279506,131362.06,12960.0,1620.0,-22442.344,-13.853299,281.90003,0.1368313,0.13683613
6500.0,329.53931,279.34879,-2.1796029,131362.06,12960.0,1620.0,-22444.136,-13.854405,279.34879,0.12920342,0.12920216
6600.0,334.68913,297.98208,-3.1254224,131362.06,12960.0,1620.0,-22465.325,-13.867485,297.98208,0.11079504,0.11079846
6700.0,339.79194,285.23696,-2.6634288,131362.06,12960.0,1620.0,-22452.389,-13.8595,285.23696,0.088011165,0.088008422
6800.0,344.86387,288.80661,-2.4193295999999997,131362.06,12960.0,1620.0,-22456.927,-13.862301,288.80661,0.099220022,0.099224134
6900.0,349.96277,309.46223,-2.0924128,131362.06,12960.0,1620.0,-22482.19,-13.877895,309.46223,0.087908756,0.087909048
7000.0,355.07854,295.07057,-2.5566632000000005,131362.06,12960.0,1620.0,-22468.648,-13.869536,295.07057,0.1061719,0.106172
7100.0,360.20959,271.72415,-2.4249856000000003,131362.06,12960.0,1620.0,-22444.219,-13.854456,271.72415,0.11186474,0.1118678
7200.0,365.31335,270.23823,-2.0664312000000002,131362.06,12960.0,1620.0,-22454.09,-13.860549,270.23823,0.15712013,0.15711913
7300.0,370.40223,279.03929,-2.8575212,131362.06,12960.0,1620.0,-22466.353,-13.868119,279.03929,0.14673371,0.14673569
7400.0,375.43431,270.90316,-2.5303685000000002,131362.06,12960.0,1620.0,-22443.478,-13.853999,270.90316,0.10302024,0.10302159
7500.0,380.54344,234.80097,-3.2980989000000003,131362.06,12960.0,1620.0,-22409.689,-13.833141,234.80097,0.10633107,0.10633098
