hrmc/structure/components/h2o.data (written by ASE) 

4860 	 atoms 
2  atom types
0.0      52.794504272174997  xlo xhi
0.0      54.794296100666998  ylo yhi
0.0      45.195295323907999  zlo zhi


Atoms 

     1 3241   2 -1.04844      35.615685242006002      4.1001761852860001      2.0975153272270002
     2 3241   1 0.52422          36.01495921059          4.567408805396      2.8313449330089999
     3 3241   1 0.52422      36.357042468979998      3.8074998801189999      1.5674570150330001
     4 3242   2 -1.04844      9.6539580530000002      52.469247310497998         14.311602461928
     5 3242   1 0.52422         10.497897815918      52.210471031132997      14.681781187147999
     6 3242   1 0.52422      9.1827489398080004         52.867275323022      15.043563922680001
     7 3243   2 -1.04844         27.122012465769      52.528632470376003      44.648789612873998
     8 3243   1 0.52422      26.333996753055001         52.286013594722      44.162560745074998
     9 3243   1 0.52422      26.904830783674999      53.368008833784003      45.054396459510997
    10 3244   2 -1.04844      25.922545163654998      54.479155951647002         42.646983840874
    11 3244   1 0.52422         26.313235661777         53.623064075277      42.822197487060002
    12 3244   1 0.52422      26.492224158759999          0.306029878448      43.100685376420003
    13 3245   2 -1.04844         50.168349514991      54.461013434747002         28.736173566146
    14 3245   1 0.52422      49.379136248218003     0.20034430364399999         28.828997208217
    15 3245   1 0.52422      50.880018823675996     0.30218063477899998      28.659067671214999
    16 3246   2 -1.04844      16.115892388561001      27.888483979718998         22.201879447989
    17 3246   1 0.52422         16.260955409546      26.942424065248002      22.189224734682998
    18 3246   1 0.52422         15.961786768506      28.119919156691001      21.285953716312999
    19 3247   2 -1.04844      3.9648850985849999         41.879574948801      4.6954277598149998
    20 3247   1 0.52422      3.2760114552130002      42.345103933037002      5.1697348532699996
    21 3247   1 0.52422          3.760931805182      42.025503725051998      3.7716636338949998
    22 3248   2 -1.04844      49.776497810149003      53.990381143531003     0.33162938453000002
    23 3248   1 0.52422      50.102676818283001      53.164240402823999      45.170130121059003
    24 3248   1 0.52422      48.824619329134002      53.889159175358998          0.339716643968
    25 3249   2 -1.04844      23.622759744753999         36.801964385378         41.297238011413
    26 3249   1 0.52422      24.275463891487998      37.215458940407999      40.732232327581997
    27 3249   1 0.52422      24.130318050012001      36.432728301274999      42.019928185818003
    28 3250   2 -1.04844      32.260783970992001      36.754410831697001      13.236421259511999
    29 3250   1 0.52422      32.862333591709003      36.022996384670002         13.375714640476
    30 3250   1 0.52422      31.790366632304998      36.528755358924997      12.433913238365999
    31 3251   2 -1.04844      32.377620583834002      54.729558245687002          4.117888110639
    32 3251   1 0.52422      32.878002682495001      54.174611530927997      4.7161215552430003
    33 3251   1 0.52422      31.465068781698999      54.597961152232003      4.3751112083330002
    34 3252   2 -1.04844      16.279928859139002         50.919529898731      42.999852822842001
    35 3252   1 0.52422          16.44778019936      50.470052056931003      43.828121047898001
    36 3252   1 0.52422         17.045708909654      50.722521033115001      42.460409091499002
    37 3253   2 -1.04844      4.7346499170199996         18.688926345799      32.929384912168999
    38 3253   1 0.52422      4.0207468609330004      18.057401332876001      32.841351098865999
    39 3253   1 0.52422      4.9962253091570004      18.628897311142001         33.848192376743
    40 3254   2 -1.04844         18.524612426407      54.538117427632002      24.331342371773999
    41 3254   1 0.52422      19.017040215152001         53.832732216836      24.751078549180999
    42 3254   1 0.52422         18.431143379184     0.40964003980300001         25.012650508823
    43 3255   2 -1.04844           5.51754403162      36.381204260404999      5.2177733807679996
    44 3255   1 0.52422      5.6119070363620001      35.443273186341003      5.0516022373330003
    45 3255   1 0.52422      4.7727115311150001      36.445277135090002      5.8155617779059998
    46 3256   2 -1.04844      44.263788383792999      39.781456035009001         10.888361566833
    47 3256   1 0.52422      43.555536778543001      39.699599651032997      10.249682394825999
    48 3256   1 0.52422      43.960188453233997      40.453547893850001      11.498567605208001
    49 3257   2 -1.04844          2.085385462349      4.4488960155020001         14.815512605173
    50 3257   1 0.52422      2.1680529097719998      5.2673193866680004         15.304983572752
    51 3257   1 0.52422      2.8771054204580002      4.4091044805179997      14.279017244089999
    52 3258   2 -1.04844      26.337859620292001           1.75179842476      32.467533380451002
    53 3258   1 0.52422      26.223838843938001      2.2793179182549999      33.258055027617999
    54 3258   1 0.52422      27.160486704450001      2.0617238705530001      32.088798031517001
    55 3259   2 -1.04844         22.317266452083      28.150761668205998      42.072195126475002
    56 3259   1 0.52422         22.413559403849         28.600001885889      42.911922824481998
    57 3259   1 0.52422         22.347673140742      27.219906873540001      42.293140215579001
    58 3260   2 -1.04844          46.91481171745      50.509372249457002         27.240011931523
    59 3260   1 0.52422      47.027526496626997         49.714447107325      27.761184914897999
    60 3260   1 0.52422         47.211278218878      51.216250769764997      27.813302580538998
    61 3261   2 -1.04844         52.014018126345      11.692531715196999      16.530816393135002
    62 3261   1 0.52422      52.231829314652998         12.382081138562      15.903670866222001
    63 3261   1 0.52422      51.088552015341001         11.833398851394      16.730568648285001
    64 3262   2 -1.04844      5.0704948811410002      17.459410740515001         16.464546048193
    65 3262   1 0.52422      6.0071855888270003      17.641971265552002         16.390286888256
    66 3262   1 0.52422          4.940477220689      17.243862852683002         17.388053460978
    67 3263   2 -1.04844      33.105581650003998      20.258079475784999      2.9747587457560001
    68 3263   1 0.52422      33.840834691981001      20.242158367354001          2.362075079981
    69 3263   1 0.52422      33.356113760550997         20.905773690794      3.6335134368770001
    70 3264   2 -1.04844      34.174405691651998      6.7317215284780003      37.455065274062001
    71 3264   1 0.52422      34.772489434846001      7.2604272725280001      37.983267050477998
    72 3264   1 0.52422         34.474689022046      5.8316238938609999      37.581108746220004
